job_title,employment_type,company,salary,processed_salary,min_education_level,requirements
Marketing,Contract,Indodharma Corpora,Rp.7 – 8 Juta,Rp. 7.500.000,"Diploma/D1/D2/D3, SMA / SMK / STM",Skills: Kemampuan public speaking yang baik. Kemampuan administrasi yang terorganisir. | Qualifications: Pengalaman minimal 3 tahun di bidang pemasaran atau yang relevan. Pendidikan minimal SMA sederajad
Sales Executive,Contract,Goto Financial,Rp.5 – 6 Juta,Rp. 5.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: – Excellent communication and interpersonal skills. – Customer service and relationship management skills. – Ability to work independently and as part of a team. – Knowledge of financial products, preferably digital wallets and payment systems. – Proven track record in sales, preferably in digital payment services/banking industry. | Qualifications: – Min. 1-2 years experience of Direct Sales/Offline Canvassing – Fresh Graduate or Bachelor’s at any field – Experience in fintech or financial services is a plus."
Sales Online,Part Time,Vita Cosmology,Rp.2 – 3 Juta,Rp. 2.500.000,SMA / SMK / STM,Skills: Kemampuan penjualan yang mumpuni dan strategi pemasaran yang inovatif. Kemampuan berbicara di depan audiens akan menjadi nilai tambah | Qualifications: 1. Pendidikan minimal SMA/SMK sederajat 2. Wajib mempunyai HP dan jaringan wajib selalu stabil 3. Tidak sedang bekerja di tempat lain 4. Siap ngonten bersama team lainnya (jika diperlukan)
Content Creator,Part Time,PT Cipta Purwa Mandiri,Rp.2 – 3 Juta,Rp. 2.500.000,SMA / SMK / STM,Skills: Pengalaman minimal 1 tahun untuk bidang yang sama | Qualifications: Minimum SMA dan mampu membuat content creatif
Business Manager Assistant,Contract,Trust Technology Corporation,Rp.8 – 9 Juta,Rp. 8.500.000,Sarjana / S1,"Skills: sales, marketing, business, etc. Language: – ENGLISH, the ability to connect with overseas customers – Chinese, the ability to communicate in Mandarin (Listening/Speaking) | Qualifications: 1. Graduated with subjects in economics, management, finance, and international trade, or other relevant subjects 2. Bachelor’s Degree 3. New graduates are welcome, training is provided, willingness to learn"
Sales Area,Full Time,LUNA SUMUT,Rp.3 – 4 Juta,Rp. 3.500.000,SMA / SMK / STM,"Skills: – Kemampuan komunikasi yang baik. – Memiliki kemampuan negosiasi yang kuat dan dapat meyakinkan pelanggan potensial. – Memiliki pemahaman yang baik tentang produk dan layanan yang ditawarkan. – Kemampuan untuk bekerja secara mandiri dan juga dalam tim. – Kemampuan untuk bekerja di bawah tekanan dan mencapai target penjualan. | Qualifications: Fresh graduate diperbolehkan untuk melamar. Pengalaman kerja minimal 1 tahun dalam penjualan, preferensi dalam penjualan di bidang aksesories handphone. Mampu mengendarai kendaraan dan memiliki SIM C (Surat Izin Mengemudi Kelas C) yang valid."
Sales Promotion Mobile / Canvasser,Contract,DGW Fertilizer,Rp.2 – 3 Juta,Rp. 2.500.000,"Sarjana / S1, SMA / SMK / STM","Skills: Mampu berkomunikasi dengan baik Negotiation dan Sales skill | Qualifications: •	Minimal pendidikan SMA/SMK/S1 Semua Jurusan •	Siap untuk sistem kerja mobile •	Dapat mengendarai mobil & memiliki SIM A •	Area kerja Jawa Barat / Jawa Tengah / Jawa Timur"
Social Media Specialist,Contract,Klinbersih.com,Rp.1 - 2 Juta,Rp. 1.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: 1) Jago ngedit video pakai InShot atau CapCut 2) Terbiasa ngelola media sosial, terutama Instagram dan Facebook. 3) Bisa bikin desain grafis pakai aplikasi desain dasar seperti Canva. 4) Copywriting yang kreatif dan engaging 5) Update dengan tren di media sosial terbaru dan ngerti algoritma | Qualifications: Minimal 1 tahun pengalaman ngurus media sosial atau content creation"
Sales Representative,Full Time,PT SOLUSI SUMBER SINAR,Rp.3 – 4 Juta,Rp. 3.500.000,"Diploma/D1/D2/D3, Sarjana / S1","Skills: Mampu Mengoperasikan Komputer (Ms Word, Excel, Power Point) Mampu Berkomunikasi Dengan Baik | Qualifications: Minimal lulusan D1. Memiliki kendaraan sendiri. Pernah punya pengalaman sales min 2 thn."
Sales Canvasser,Contract,PT. KOTAK HIJAU UTAMA,Rp.5 – 6 Juta,Rp. 5.500.000,"Diploma/D1/D2/D3, SMA / SMK / STM","Skills: Mampu berkomunikasi dengan baik, siap bekerja target, kemampuan negosiasi | Qualifications: – Pendidikan min. SMK – Pengalaman sebagai Sales Lapangan"
IT Marketing Consultant,Contract,Stralentech IT Solution,Rp.10 – 12 Juta,Rp. 11.000.000,Sarjana / S1,"Skills: Mahir dalam melakukan presentasi produk kepada klien dan calon pelanggan. Luwes dalam berkomunikasi, baik dalam bahasa Indonesia maupun bahasa Inggris. Mampu berkomunikasi dengan baik dalam bahasa Inggris (baik lisan maupun tulisan). Kemampuan menggunakan alat analisis data dan pelaporan. | Qualifications: Gelar sarjana dalam bidang pemasaran, bisnis, teknologi informasi, atau bidang terkait. Pengalaman kerja minimal 1 tahun di bidang pemasaran, terutama pemasaran produk IT atau teknologi. Pengalaman dalam mengembangkan dan mengelola kampanye pemasaran digital. Berumur antara 21 hingga maksimal 35 tahun. Domisili Jakarta Timur"
Social Media Specialist,Contract,Ornada,Rp.2 – 3 Juta,Rp. 2.500.000,"Sarjana / S1, SMA / SMK / STM","Skills: Menguasai design graphis Memahami fitur, algoritma, dan praktik terbaik di berbagai platform sosial media | Qualifications: Berpengalaman bekerja di bidang Grafis Bersedia untuk bekerja sebagai freelance"
Digital Marketing,Contract,PT. Ebi Multisindo Internusa,Rp.5 – 6 Juta,Rp. 5.500.000,Diploma/D1/D2/D3,Skills: 1.Pembuatan Website 2.SEO (Search Engine Optimization) 3.Social Media Marketing 4.Content Marketing 5.Video Marketing 6.Creative Design | Qualifications: 1.WFH (work from home). 2.Menguasai platform sosial media. 3.Ahli di bidang marketing digital. 4.Fasih berbahasa Inggris lisan & tulisan. 5.Memiliki perangkat kerja pribadi.
Multimedia Creative Assistant Manager,Part Time,PT. Surya Vita Kencana,Rp.2 – 3 Juta,Rp. 2.500.000,"Diploma/D1/D2/D3, Sarjana / S1",Skills: Platform Kerja: -MS. Word -MS. Office -Adobe Photoshop -Adobe Illustrator -Canva -Asana -Time doctor | Qualifications: Minimal pengalaman 2 tahun di bidang yang sama. Pendidikan minima Diploma
Sales,Full Time,PT. GLORY BERKAT UNGGUL,Rp.4 – 5 Juta,Rp. 4.500.000,"Diploma/D1/D2/D3, SMA / SMK / STM",Skills: menguasai skill komunikasi yg baik bisa mengendarai motor | Qualifications: Min. SMA/SMK/Sederajat Pengalaman Min.1 th dibidang yang sama Bisa mengendarai motor dan mempunyai Motor + SIM C Bersedia Keluar Kota
Korean Translator,Full Time,nextersystems,Rp.6 – 7 Juta,Rp. 6.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: Mampu berbahasa Korea Paham 3D / Design Grafis – materi lengkap bisa dipelajari setelah bergabung di perusahaan Dapat bekerja Remote , menggunakan Goggle Drive dan Google Chat/Meet | Qualifications: Memiliki PC / Laptop, dengan syarat Hardware / perangkat sbb : CPU 1) Setara i3 Intel Core i3-10100 (Generasi ke-10) Core/Thread: 4 Core / 8 Thread Kecepatan Clock Dasar: 3.6GHz Kecepatan Clock Maksimal: 4.3GHz Proses Pembuatan: 14nm TDP: 65W 2) Setara i5 Intel Core i5-8400 (Generasi ke-8) Core/Thread: 6 Core / 6 Thread Kecepatan Clock Dasar: 2.8GHz Kecepatan Clock Maksimal: 4.0GHz TDP: 65W 3) Seri AMD AMD Ryzen 5 3600 Core/Thread: 6 Core / 12 Thread Kecepatan Clock Dasar: 3.6GHz Kecepatan Clock Maksimal: 4.2GHz Proses Pembuatan: 7nm TDP: 65W RAM minimal 8GB atau lebih Monitor dan Grafis Ukuran 20 inci atau lebih besar Resolusi 1920 x 1080 atau lebih tinggi Bagi pengguna laptop, harus dapat menghubungkan monitor eksternal"
Sub Project Manager,Contract,nextersystems,Rp.6 – 7 Juta,Rp. 6.500.001,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: Mampu berbahasa Korea Berpengalaman di pengerjaan 3D Lidar / Line Drawing (LDRDB) Dapat bekerja Remote , menggunakan Goggle Drive dan Google Chat | Qualifications: Memiliki PC / Laptop, dengan syarat Hardware / perangkat sbb :CPU 1) Setara i3 Intel Core i3-10100 (Generasi ke-10) Core/Thread: 4 Core / 8 Thread Kecepatan Clock Dasar: 3.6GHz Kecepatan Clock Maksimal: 4.3GHz Proses Pembuatan: 14nm TDP: 65W		 2) Setara i5 Intel Core i5-8400 (Generasi ke-8) Core/Thread: 6 Core / 6 Thread Kecepatan Clock Dasar: 2.8GHz Kecepatan Clock Maksimal: 4.0GHz TDP: 65W		 3) Seri AMD AMD Ryzen 5 3600 Core/Thread: 6 Core / 12 Thread Kecepatan Clock Dasar: 3.6GHz Kecepatan Clock Maksimal: 4.2GHz Proses Pembuatan: 7nm TDP: 65W		 RAM minimal 8GB atau lebih		 Monitor dan Grafis Ukuran 20 inci atau lebih besar Resolusi 1920 x 1080 atau lebih tinggi		 Bagi pengguna laptop, harus dapat menghubungkan monitor eksternal"
Manager Accounting Pajak,Full Time,PT Interkoneksi Indo Teknologi,Rp.12 – 15 Juta,Rp. 13.500.000,Sarjana / S1,"Skills: Menguasai sistem ERP, Microsoft Office, familiar dengan DJP Mengerti serta memahami standar accounting, sistem serta regulasi perpajakan, Fasih berbahasa Indonesia dan Inggris (Mandarin lebih baik lagi) | Qualifications: Pria / Wanita Berusia 27 – 38 tahun Memiliki min pengalaman 2 – 3 tahun bekerja sesuai bidang (accounting dan perpajakan) PendidikanS1 sederajad"
Staff Marketing,Contract,DS Store,Rp.3 – 4 Juta,Rp. 3.500.000,Sarjana / S1,Skills: 1. Memiliki pengetahuan tentang platform dan alat pemasaran afiliasi 2. Keterampilan komunikasi yang baik | Qualifications: 1. Perempuan 2. Usia maksimal 28 tahun 3. Pendidikan minimal S1 semua jurusan 4. Aktif berorganisasi 5. Berpenampilan menarik
Telemarketing,Full Time,PT. PARASIDE REALTY INDONESIA,Rp.2 – 3 Juta,Rp. 2.500.000,"Diploma/D1/D2/D3, SMA / SMK / STM","Skills: 1. Menguasai skill komunikasi dan negosiasi 2. Memahami product knowledge 3. Kemampuan memecahkan masalah 4. Familiar dengan e-commers, internet dan industri digital | Qualifications: 1. Wanita usia 25 – 27 tahun 2. Berpengalaman min 3 tahun dalam bidangnya 3. Mampu bekerjasama dengan tim"
Tutor Matematika Online,Freelance,Bimbel Xyz,Rp.3 – 4 Juta,Rp. 3.500.000,Sarjana / S1,"Skills: Aplikasi Zoom, Gmeet, Microsoft Office Memiliki kemampuan berkomunikasi yang baik, baik secara lisan maupun tulisan. Memiliki kemampuan menjelaskan materi matematika dengan jelas dan mudah dimengerti. | Qualifications: Wanita Lulusan Sarjana Matematika atau jurusan terkait. fresh graduate silahkan melamar Memiliki komitmen untuk bekerja secara profesional dan tepat waktu."
Supervisor Marketing,Full Time,PT. PARASIDE REALTY INDONESIA,Rp.3 – 4 Juta,Rp. 3.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM",Skills: 1. Bekomunikasi 2. Pemahaman Produk 3. Leadership | Qualifications: 1. Pria / Wanita mask. 40 tahun 2. Pendidikan min. SMA/ Sederajat 3. Berpengalaman min. 5 tahun atau lebih diutamakan dibidang perumahan komersil 4. Memiliki kendaraan pribadi 5. Bertutur kata baik dan sopan 6. Berpenampilan rapi
Microsoft Solutions Specialist  ,Contract ,Nomura Research Institute Indonesia,Rp 10.000.000 - Rp 20.000.000 / Month,Rp. 15.000.000,,"Minimum 2 to 5 years of working experience in Microsoft 365 Technologies especially in user adoption within Microsoft 365
Showcase a proven track record of effectively managing a diverse range of service requirements and migration to Microsoft 365
Deep understanding of Office 365 services, excellent troubleshooting skills, and a proactive approach to ensure seamless productivity for all users
Experience with PC, Mac configuration image, deployment technologies, using configuration management tools such as, Intune and JAMF to successful install and manage Office 365 applications
Proficiency in PowerShell scripting for automation and management of M365 environments
A strong passion in working with Microsoft 365 technologies
Excellent problem-solving skills with a proactive and resourceful approach to tackling challenges
Understand the development process
Familiarity with the functions and creation of solutions in Microsoft 365 - advanced level
Microsoft 365 administration - advanced level
Excellent interpersonal skills
Required language(s): English"
Data Engineer (DE)  ,Full time,"Nomura Research Institute Indonesia
",Rp 10.000.000 - Rp 20.000.000 / Month,Rp. 15.000.000,S1,"Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Proficiency in Python programming language
Experience in dataset processing and feature engineering using tools such as Numpy, Pandas, and Scikit-Learn
Visualization skills using tools such as Matplotlib, Seaborn, and Bokeh
Understanding of deep learning frameworks such as Pytorch and TensorFlow
Understanding of SQL and NoSQL
Understands Hadoop / Spark / Kafka / Hive / Presto
Proficiency in source control i.e. Git"
Japanese Translator  ,Contract ,"Transcosmos Indonesia
 ",Rp 5.000.000 - Rp 11.000.000 / Month,Rp. 8.000.000,,"Japanese Skill N2 or N1 (preferably N1).
At least 2 years of working experience in related field.
Have a good communications & organization skills. (both written and speaking).
Strong analytical & logical thinking.
Able to work under tight deadline and highly motivated.
Go through details and result oriented, pay attention to the process as well.
Strong passion for and knowledge of Digital World.
Ability to multi-task and priorities accordingly."
Freelance Teacher,Freelance,"Superprof
",Rp 8.660.000 -  IDR 51.960.000 / Month,Rp. 30.310.000,,"You want to share your knowledge and knowledge to new students (academic)
You have a school qualification / related experience / university degree in the subject or subjects you wish to teach
You are patient, punctual and a good educator
Like us, you think everyone has something special to share
No experience required
All it takes is science and knowledge
Define your own rates, schedules and locations"
Senior Software Developer  ,Full time,"Wistkey Technologies Limited
",Rp 6.346.100 - Rp 23.797.875 / Month,Rp. 15.071.987,S1,"Passion for technology is a must;
At least 3 year of working experience as a software developer;
Conversational English is a must;
Strong analytical and planning skills;
Excellent problem-solving skills;
Basic management skills;
Experience with Agile methodologies, Gitlab/ Github, Jira;
Experience in Jenkins, Dockers, Kubernetes, AWS is a plus;
Exposure to cloud / infrastructure for projects is a plus; and
Bachelor in Computer Science or similar disciplines is a plus"
UAT Tester | Software Tester | QA Tester  ,Full time,"Wistkey Technologies Limited
",Rp 3.173.050 - Rp 7.932.625 / month,Rp. 5.552.837,S1,"Strong communication, problem-solving, and organization skills is a must;
Bachelor's degree in Computer Science or a related field (or equivalent work experience) is a plus;
Software testing experience (Manual/Auto) is a plus;
Knowledge of programming (e.g., Java, Python, JavaScript) is a plus;
Familiarity with test automation tools like JMeter, Postman, Selenium, Appium is advantageous;
Experience in test case automation is a bonus;
Previous agile product lifecycle experience is desirable."
Staff Entry Data,Part-time,BAJIKI FASHION STORE,"Rp 20,000,000 - Rp 40,000,000 / Month",Rp. 30.000.000,,"Male / Female
Age Min 18 Years Old.
High school graduation equivalent.
Be responsible.
Good Attitude.
Can work online based.
Communicate well."
Admin Warehouse Online (WFH/WFO),Part-time,Nadjafashionstore,"Rp 4,500,000 - Rp 6.800.000 / Month",Rp. 5.650.000,S1,"Candidate must possess at least a bachelor's Degree, Engineering (Computer/Telecommunication) or equivalent.
Minimum age 18 years and Maximum 35 years.
Willing to work in location (WFO) or remote (WFH) as per company policy.
Thorough, have good communication skills, and able to work in a team.
Have good organizational skills, able to manage time and work priorities.
Able to operate computer devices and office applications (MS Office, Google Workspace, etc.).
Have basic skills in stock management and administration."
Data Entry,Part-time,HILLS Fashion,Rp 3.000.000 - Rp 6.000.000 / Month,Rp. 4.500.000,S1,"Male and female
Minimum Age 19 Years Old
Minimum bachelor degree
Good communication and interpersonal skill
Good communication skill, both oral and written
Ability to generate creative ideas
Ability to manage multiple projects on a team and individual basis"
Staf Data Entri,Full time,PT Canaya Indotama,Rp 6.000.000 - Rp 10.000.000 / Month,Rp. 8.000.000,S1,"Male and female
Maximum age 35 years old
Minimum bachelor degree
Good communication and interpersonal skills
Able to operate computer (Ms. office)
Ready for overtime"
Entry Data,Part-time,Nadjafashionstore,"Rp 4,000,000 - Rp 6,000,000 / Month",Rp. 5.000.000,,"Male and female
Min 18 Years Old
Able to work under pressure
Responsible
Able to work independently and in a team
Good Attitude
Able to work under pressure
Good communication skill"
FRONT END DEVELOPER,Temporary,"PT Swakarya Insan Mandiri
",Rp 4.500.000 - Rp 5.500.000 / Month,Rp. 5.000.000,,"Male / Female
Experienced
Diploma
25 - 35 years old
Accept candidates without a photo of themselves
Suitable province for work placement (DKI Jakarta)"
Admin wfh part time,Part-time,Ninetynine,Rp 3.500.000 - Rp 4.500.000 / Month,Rp. 4.000.000,,"Male / Female
Maximum Age 18 -35 Years Old
Able to work independently and in a team
Fluent In English Both Oral And Written
Familiar With Online Jobs
Have A Good Communication Skill In English
Have Good Internet Connectivity
Knowledge of E-Commerce
Product Management Skills
Communication Skills"
Content Creator (remote),Part-time,Bamboo Works,"Rp 4,500,000.00 / Month",Rp. 450.000.000,,"Good appearance in front of the camera.
Fluent in English with no noticeable accent.
Comfortable speaking in front of the camera; previous experience in video content creation is a plus.
Strong communication skills and a lively, engaging personality.
Understanding of financial markets is a plus"
Staff Data Entry,Temporary,"PT Sanda Inti Abadi
",Rp 3.000.000 - Rp 5.000.000 / month,Rp. 4.000.000,S1,"Male and female
Maximum age 35 years old
Minimum bachelor degree
Good communication and interpersonal skills
Able to operate computer (Ms. office)
Ready for overtime
Good Command In English"
Data Analyst,Full time,Rakamin,"
Rp 8.000.000 - Rp 15.000.000 / month
",Rp. 11.500.000,S1,"Bachelor’s Degree in human resources, business administration, data analytics, information system, or a related field.
Proficiency with Excel, SQL, Tableau, Power BI, Python, or R for data analysis.
Strong foundation in statistics, data interpretation, and modeling techniques.
Analytical mindset with problem-solving capabilities.
Detail-oriented with the ability to translate data into actionable insights.3-5+ years of experience in business analysis, preferably within the HR services industry."
Staff Data Entry,Full time,"PT Surya Asia Gemilang
",Rp 3.000.000 - Rp 5.000.000 / month,Rp. 4.000.000,S1,"Male and female
Maximum age 32 years
Education Min. SMA / K and D3
Candidate must possess at least a bachelor's degree
Fluent in English both oral and written
Fresh Graduate Wellcome"
Admin Online,Part-time,Kayla fashion shop,"Rp 10,000,000 - Rp 14,000,000 per Month",Rp. 12.000.000,S1,"Male and female
Minimum Age 19 Years Old
Minimum bachelor degree
Good communication and interpersonal skill
Good communication skill, both oral and written
Ability to generate creative ideas
Ability to manage multiple projects on a team and individual basis"
Math Tutor,Part-time,"Alifa Bintang Nusantara
","
Rp 2,500.000 - Rp 5.000.000 / month
",Rp. 3.750.000,SMA,"Teaching online via zoom
Help students work on practice questions
Evaluating student performance results
Male / Female
Without Work Experience
SMA/SMK"
Remote Canva Creative Specialist,Full time,Snaphunt,19200 $ / year,Rp. 25.384.000,S1,"Bachelor’s degree in Graphic Design, Digital Media, or a related field.
Proven expertise and a track record of success in using Canva for professional design projects.
Strong leadership, analytical, and communication skills.
Collaborative mindset with the ability to work effectively in a team and cross-functional setting.
Bonus pickles if you have experience with the Affinity suite of tools."
REMOTE Business Development,Full time,PT Sinergi Performa Cipta,Rp 3.000.000 - Rp 5.000.000 / month,Rp. 4.000.000,,"Willing to familiarize themselves with the vision and mission of the company, strive to achieve the set goals and objectives.
Conduct market research and identify potential clients.
Fostering strong relationships with new clients, while maintaining existing client relationships.
Collect and maintain client information in a CRM database.
Work closely with staff across departments to implement growth strategies.
Develop and implement sales strategies, client service and retention plans, and analyze sales data to inform or update marketing strategies.
Help draw up a business plan, sales promotion, presentation, reference materials and other necessary documents.
Have the ability to manage multiple projects simultaneously and meet deadlines.
Identify new business opportunities and partners.
Demonstrate strong interpersonal skills with the ability to engage effectively with different levels of management, staff, and clients.
Male / Female
Experienced
Diploma
22 - 35 years old"
General Admin,Full time,"PT Hydromart Utama Indonesia
",Rp 4.500.000 - Rp 5.500.000 / month,Rp. 5.000.000,,"Schedule an event or meeting
Prepare office stationery and other supplies
Set up internal database
Sending expense reports
Keeping employee records (physical and digital)
Maintain a filing system for customer and external partner data
Distribute incoming and outgoing mail
Prepare reports and regular presentations
Organize, store and print company documents as needed
Answer and divert phone calls
Making travel arrangements
Handling questions from managers and employees
Update office policies and ensure compliance with them
Male / Female
No Work Experience
Diploma
No age limit
Accept candidates without a photo of themselves
10 km Radius from the job site"
Remote Production Coordinator,Full time,Design Pickle,"19200 $ / year
",Rp. 25.384.000,,"A passion for our purpose: to be the most helpful creative platform in the world.
In-depth knowledge of the creative development and production process, enabling successful fulfillment of the vision and implementation of creative briefs.
Proficient in coordinating multiple projects concurrently while dealing with diverse stakeholders.
Attention to detail with exceptional organizational ability.
Proficient in project and relationship management.
Outstanding communication and problem-solving skills, with an aptitude for collaboration across multiple teams.
Practical understanding of Adobe Creative Cloud: Photoshop, Illustrator, InDesign, After Effects, Premiere Pro, and Acrobat.
Practical understanding of Canva, Figma, Microsoft PowerPoint, and Google Slides.
Resourceful and self-motivated individual who excels in a fast-paced environment.
Proficient in organizing and comprehending project requirements, even when they may not be well-defined.
Experience with project management platforms.
Daily interaction with clients, mainly through Slack and Email, with multiple virtual meetings weekly.
Business-Level English skills and ability to collaborate with cross-functional and international teams, including other Production Coordinators, Quality specialists, Customer Success Representatives, and Enterprise Level Customers.
Strong organizational and time-management skills, and the ability to prioritize tasks and meet deadlines to ensure timely delivery of high-quality work.
Decision-making, negotiation, and forward-thinking skills.
Experience working with ticket management tools."
Admin E-Commerce,Part-time,PT. MAX FASHION GROUP,Rp 450000 - Rp 550000 / day,Rp. 15.000.000,S1,"Women
Bachelor Degree (S1) In Accounting
Age 18-39
Minimum 1 year experience
Able to work independently and in a team
Understanding data capture
Master Ms. Office especially Excel
Menguasai komputer (Ms. office)"
Warehouse Staff,Full time,PT Sukses Amindo,Rp 6 million-Rp 10 million,Rp. 8.000.000,S1,"Male and female
Pendidikan minimal SMA / SMK – S1
Able to operate computer (Ms. office)
Pendidikan minimal D3 dan S1 (head of Warehouse, Supervisor, Audit)
Candidate must possess at least a Bachelor's degree, Master's Degree / Post Graduate Degree, Engineering (Civil), Engineering
Able to operate computer (Ms. office)
Able to work in a Team
Willing to work overtime"
Remote Graphic Designer (Specialist in Logo & Branding),Full time,Snaphunt,13200 $ / year,Rp. 17.451.500,,"Can actively communicate with customers in written English in real-time.
Have graphic design experience.
Have a friendly, positive, and great team player attitude!
Possess strong attention to detail.
Can demonstrate proficiency in Adobe Photoshop, Illustrator, and InDesign.
Have experience creating presentations in PowerPoint, and Google Slides.
Have experience utilizing Canva.
Enjoy looking up and learning new things quickly.
Have an eye for accuracy, detail, and quality control.
Have excellent communication and client handling skills (Customer Support experience is a plus!).
Advanced knowledge in Adobe CC programs required
Friendly and positive attitude
Great team player attitude
Experience handling customers
Own reliable computer that meets these Requirements
Internet connection above 20 Mbps"
Operations Supervisor,Full time,Third Party Formations,Rp 10 million - Rp 20 million ,Rp. 15.000.000,S1,"A bachelor's degree in Business Administration, Operations Management, or a related field (preferred but not always required).
Demonstrated experience in an operational role or supervisory position.
Preference is usually given to people with relevant experience in a specific industry of the enterprise (for example, manufacturing, finance, insurance, logistics, retail, car sales).
Familiar with safety regulations and operational best practices.
Strong leadership and team management skills.
Excellent communication and interpersonal skills.
Analytical thinking and problem solving skills.
Ability to prioritize tasks and manage time effectively.
Ability to oversee multiple processes and ensure each process meets quality and efficiency standards.
Make operational decisions quickly and effectively with confidence, often under pressure."
Admin Accounting,Full time,PT Winta Ekasarana,Rp 6 million  - Rp 10 million ,Rp. 8.000.000,D3,"Male and female
D3 from reputable university
Minimum 2 years working experience in the same field
Fresh Graduate Wellcome
Good command in English both oral and written
Good communication and interpersonal skill
Good communication and interpersonal skills"
Customer Service Agent,Full time,Deliveree On-Demand Logistics (Southeast Asia),Rp 5 million   - Rp 6 million  / month,Rp. 5.500.000,D3,"No minimum or maximum year of working experience
Minimum education of a 3-year diploma degree (D3) or above
GPA 3.0 or higher 
All majors welcome to apply
Good English skills
Good speaking and writing skills
Fast typing skills
Willing to work on shifted schedule
Self-motivated, independent, and hardworking
Multitasking skills and detail-oriented"
Remote Motion Graphics Artist,Full time,Snaphunt,16800 $ / month,Rp. 266.532.000,,"Proficiency in  Adobe After Effects, and Adobe Premiere Pro for creating videos and animations. 
Knowledge of  Adobe Photoshop,   and Adobe Illustrator, to support the creation and edition of assets used in motion graphics-related projects.
Experience in conceptualizing and producing unique Motion Graphics on client requirements.
Strong organizational and time-management skills for effective project management.
Effective communication and collaboration skills to ensure client satisfaction.
Intermediate/Advanced English proficiency (Upper Intermediate B2 English level) , both orally and in writing, for effective client communication and seamless team interactions in the region.
Robust Demo Reel demonstrating proficiency in the Types of Animation as mentioned above. "
Sales Marketing Manager,Full time,MEDIA SALES 360 LTD,Rp 15 million- Rp 30 million,Rp. 22.500.000,S1,"Bachelor's degree or higher in marketing, media or a related major.
1-3 years of sales or customer service experience, media or advertising industry preferred.
Excellent communication skills, sales skills, and self-motivation."
Staff Administrasi,Full time,PT Guna Anta Logistik,Rp 6 million - Rp 10 million ,Rp. 8.000.000,S1,"Male and female
Maximum age 32 years old
Good communication and interpersonal skill
Education D3-S1 (to fill the head of administration)
Fluent in English (oral and written).word, excel and powerpoint)
Able to work in a team and individually
Able to work independently and in a team
Computer literate (Ms. office)
Willing to be placed in Cikarang, Bekasi
Experience in the same position
Fresh graduates are welcome to apply"
Staff Accounting,Full time,"PT Sanda Inti Abadi
",Rp 6 million - Rp 10 million ,Rp. 8.000.000,S1,"Male and female
Maximum age 30 years
Education min. D3 / S1 accounting / accounting information system/ Taxation
Menguasai Microsoft Office
Good command in English both oral and written
Bachelor Degree in accounting
Able to operate ms data processing.excel
Minimum Bachelor Degree in finance / accountancy. 1 yr
Able to work independently and in a team"
Data Entry & Collection Support Coordinator,Full time,PT Magada Tirta Amerta,Rp 2 million-Rp 2.4 million,Rp. 2.200.000,S1,"Male / Female
Experienced
Diploma
21 - 47 years old
Candidate must possess at least a bachelor's degree
Province appropriate work placement (Special Region of Yogyakarta)"
Officer Data Entry (ODE),Full time,PT Parion Indo Tama,Rp 6 million-Rp 10 million,Rp. 8.000.000,S1,"Male and female
Maximum age 33 years old
Pendidikan minimal S1 accounting
Minimum 1 year working experience
Fresh Graduates Are Welcome To Apply
Able to work in a team
Fluent in English both oral and written
Be selective and responsible"
"Video Tiktok Creator
",Full time,Myiwe Beauty,Rp 1.5 million-Rp 2.5 million,Rp. 2.000.000,S1,"Conduct research related to topics that will be raised into content.
Create video content, articles, infographics, and more in a relevant style.
Can utilize various digital platforms to create structured drafts.
Target content to a specific audience and focus on trending topics.
Analyze web traffic to measure the success of content.
Male / Female
Experienced
SMA/SMK
17 - 25 years old
Candidate must possess at least a bachelor's degree
The city is located in the heart of the city (kab. Malang)"
Admin Marketplace & Social Media,Full time,Rasa Juara Indonesia,Rp 2.5 million-Rp 3 million,Rp. 2.750.000,S1,"Male/Female, age 21 - 28 years old
Minimum D3 from any major
Have experience in managing marketplaces and social media.
Skilled in creating creative content and have a sense of branding.
Able to work well under pressure and with targets.
Experienced with the use of social media and marketplace analytics tools.
Good communication skills and able to deal with customers patiently and professionally.
Willing to be placed in Cikarang, Bekasi. Bandung
Male / Female
Experienced
Diploma
20 - 30 years old
Candidate must possess at least a bachelor's degree
The city is located in the heart of the city (kab. Bandung)"
