Job Title,Job Category,Company Name,Salary,Requirements
IT Support,Full time,PT Innoark Servis Internasional,,"Good command of English is a must.
Educational background in IT software is required.
Knowledge of support framework best practices.
Minimum of 2 years of experience in a technical customer support or application customer support role, preferably in a software or technology company.
Strong technical aptitude and troubleshooting skills, with the ability to analyze and solve complex technical problems.
Excellent communication skills, both written and verbal, with the ability to communicate technical information to non-technical users effectively.
Ability to work independently and collaboratively in a fast-paced environment.
Proficiency in using SQL commands.
Proficiency in using a ticketing system such as Zendesk will be an advantage.
Ability to communicate (verbally and in writing) with Mandarin-speaking clients will be an advantage.
Willingness to work overtime when necessary."
"Community & Partnerships Coordinator (Ubud, Full-Time)",Full time,Outpost,,Not Found
Graphic and UI/UX Designer,Full time,Snaphunt,,"Experience in exhibition design or similar deadline-driven projects.Previous experience in UI/UX design or website development.
The Employer
Our client is a dynamic company committed to delivering innovative solutions across diverse industries. Their vision is to lead globally by creating impactful solutions, while their mission is to provide exceptional value through expertise, collaboration, and creativity. They offer various services, including custom software solutions, cutting-edge technology, consulting, project management, and quality assurance. Their strengths lie in innovation, expertise, customer-centricity, and integrity. Join them to transform challenges into opportunities and drive growth together."
Partner Engagement Supervisor,Full time,PT Paragon Pratama Teknologi,,Minimum of 5 years of relevant experiencePrior experience as a Junior Manager in a relevant roleExcellent communication & delegation skill is a mustFlexible in remote placing all over Indonesia [If there is a project]Proven experience in establishing and managing partnershipsProficiency in Microsoft OfficeStrong project management skill is a plus point
Graphic and UI/UX Designer,Full time,PLS Pte Ltd,,"Experience in exhibition design or similar deadline-driven projects.Previous experience in UI/UX design or website development.
What's on Offer?
Opportunities for Learning and GrowthWork From HomePerformance Bonus"
Sales Specialist,Part time,Snaphunt,,Not Found
Chief Engineering24185349,Full time,The Laguna a Luxury Collection Resort & Spa Nusa Dua Bali,,Not Found
Data Annotator - Freelance,Full time,Mindrift,,"Our ideal candidate:
Has great command of English: advanced (C1) / proficiency (C2) / native level.Has a keen eye for detail: precision is paramount in data labeling.Is a dedicated performer who recognizes the importance of even routine tasks."
Data Annotation Specialist - Freelance,Full time,Mindrift,,"Our ideal candidate:
Has great command of English: advanced (C1) / proficiency (C2) / native level.Has a keen eye for detail: precision is paramount in data labeling.Is a dedicated performer who recognizes the importance of even routine tasks."
SEA - Recruitment Freelancer,Full time,Qode,,Not Found
Assistant Spa Manager24172151,Full time,TA AKTANA a Luxury Collection Resort & Spa Labuan Bajo,,Not Found
Developer ERP Odoo,Full time,Vascomm,,Not Found
Konsultan Fungsional ERP Odoo,Full time,Vascomm,,Not Found
Social Media Manager (Marketing),Full time,Fans-CRM,,Not Found
Mobile App Developer,Part time,Snaphunt,,"●       You possess a Degree/Diploma in Computer Science, Engineering or related field.
●       You have at least 3 years experience, ideally within a Software Engineer role.
●       Proven experience with Flutter, React, or other cross-platform mobile development platform.
●       Expertise in Swift for iOS and Kotlin/Java for Android development.
●       Strong understanding of Mobile UI/UX Design and the ability to create user-friendly interfaces.
●       Experience with app deployment processes on App Store and Google Play.
●       Familiarity with mobile app performance optimization techniques.
●       Experience working in a fast-paced startup environment is a plus.
●       Strong problem-solving skills and ability to collaborate with a remote, global team.
The Employer
Our client is redefining professional networking for purpose-driven leaders by creating a global community where corporates, institutions, and individuals collaborate to streamline the fragmented CSR and social impact sector. They aim to build a transparent, efficient, and execution-driven ecosystem that sustains itself and delivers real-world impact through socially and philanthropically aligned initiatives."
Consultant - Platform,Full time,PT Tech Data Advanced Solutions Indonesia,,Not Found
Outreach Manager / Sales Development Representative,Full time,Fans-CRM,,"Proficient written English (B2 level and above); additional languages are a plus to be able to effectively liaise with stakeholders in the region.Ability to use CRM systems.Systematic and hardworking approach.
Additional Qualifications:
Experience in a similar position.Desire for career growth.High level of personal culture.Basic understanding of the sales funnel."
Chief Steward24184045,Full time,The Sira a Luxury Collection Resort and Spa Lombok,,Not Found
Full Stack Developer,Part time,GTEcom BV,,Not Found
Search Engine Evaluator (WFH),Part time,Snaphunt,,"High-speed internet connectionPC with Windows or Mac OS X operating system and Google Chrome.Fluency in English; native-level fluency in your local language (Japan, South Korea, or Indonesia)Detail-oriented, deadline-driven, and reliable.Only one person per household participating.
The Employer
Our client is the world’s leading provider of technology-enabled language, content management and intellectual property services."
Project Manager (Active Pooling),Full time,FullFind,,Not Found
Technical Support Part-Time,Part time,Kataai,,Not Found
Chef de Cuisine24184031,Full time,The Sira a Luxury Collection Resort and Spa Lombok,,Not Found
Database Administrator 2,Full time,PT Mid Solusi Nusantara (MEKARI),,"Bachelors or higher degree in Computer Science or related fields.3+ years of hands-on experience with production of MySQL and PostgreSQL database operations.Familiar with performance tuning and optimization using native monitoring, troubleshooting, and database performance monitoring toolsFamiliar with cloud technology (e.g. Ali-Cloud, AWS-RDS /GCP-CloudSQL)Familiar with scripting languages (at least one of Shell or Python).Familiar with Linux OS and good system troubleshooting skills.Strong analytical and problem-solving skills, in critical situations under pressure as well as in day-to-day operations.Detail-oriented with the ability to manage multiple tasks with shifting priorities."
Content Outreach & Partnership,Full time,PT Mid Solusi Nusantara (MEKARI),,"Degree in marketing management, communication, or similar
Proven experience in updated content marketing campaign, especially for B2B
Prior database management, preferable in a similar role
Good analytical thinking, and willing to learn
Outstanding of copywriting and copyediting abilities
Excellent management skills specific to marketing
Ability good collaboration with other division
Fluent in Bahasa Indonesia & English (both written & verbal)"
UI/UX Designer (For Active Pooling),Full time,FullFind,,Not Found
Direct Response Funnel Builder,Full time,Snaphunt,,Not Found
Software Engineer,Full time,PT AAA,,Not Found
Content Writer (For Active Pooling),Full time,FullFind,,Not Found
Real Estate Specialist,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
Field Sales Executive (Klaten/Sukoharjo/Solo),Full time,Ninja Xpress,,Not Found
Corporate Psychologist / Counselor,Full time,Company Confidential,,Not Found
HR Manager (Japanese Speaking),Full time,Snaphunt,,Not Found
Content Marketing Specialist,Full time,PT Mid Solusi Nusantara (MEKARI),,"Proven work experience as a Content Strategist or similar roleBasic of SEO guidelines and keyword research tools e.g Google Keyword Planner, SEMRush, AHREFSProficiency in web publishing or CMS e.g WordPressExperience in using email marketing tools e.g SendinBlue, Hubspot, or similar toolsProven experience in writing and editing English publications."
Technical Support (Mekari Officeless),Full time,PT Mid Solusi Nusantara (MEKARI),,"Minimum Diploma in Information Technology, Information Systems, or Computer ScienceFresh Graduate (with student organization experiences) or 1 year experience as an IT Helpdesk Support or Application Support.Understanding programming languages ​​like Javascript, SQL and MongoDBFoster positive relationships and collaboration with both internal and external parties to achieve operational and business goals.Strong verbal and written communication skills to interact with users and document issues clearlyHave high analytical skills in analyzing cases quickly and accurately.Ability to manage multiple tasks and prioritize effectively"
Fullstack Developer (Golang + Vue.js),Full time,Livit,,Not Found
Sales Manager - Surabaya (Mekari Jurnal),Full time,PT Mid Solusi Nusantara (MEKARI),,"Minimum 3 years of sales experience, proven track record in achieving sales quotaExperience in IT or HR company is a plus. B2B sales experience is necessaryExperienced in building and managing sales teamExcellent presentation skillsComfortable and confident speaking to senior executive"
Operation Cost & Performance Analyst,Full time,Ninja Xpress,,Not Found
Sales Specialist,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
IT Support (Denpasar),Full time,byOrange,,"SMK, Diploma, Bachelor's degree in computer science or engineering or related field preferredExperience troubleshooting systems & hardwareSkilled in troubleshooting and software installationProficient with MAC and OS windowsFamiliar with network office infrastructureFamiliar with Mikrotik RouterboardFamiliar with TCP/IP Concept"
SEO Specialist,Part time,Snaphunt,,Not Found
Lead Auditor RSPO / ISPO,Full time,PT BSI Group Indonesia,,Not Found
Video Editor (For Active Pooling),Full time,FullFind,,Not Found
Social Media Associate,Full time,PT Mid Solusi Nusantara (MEKARI),,"At least 1+ year of proven experience with managing social media accounts in notable tech companies and/or B2B centric accountsFluent in both English and Bahasa IndonesiaBachelor's degree majoring in Marketing, Social Media, Communication, etc.Articulate, energetic, and enthusiastic individual that displays growth and solution-oriented mindset.Highly knowledgeable and has demonstrated solid experience in social media marketingInterest in tech venturesIntelligence and an ability to prioritize workAdaptive, agile and quick learner"
Drafter,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
Senior IT Auditor,Full time,PT Mid Solusi Nusantara (MEKARI),,"Bachelor's degree in Information Systems, Computer Science/ Engineering, or equivalent.3+ years experienced in IT Auditor or Information Security Auditor role.Experience auditing applications, cybersecurity domains, and/or cloud computing.Knowledge about International Standard Organization (ISO) 27001 and other information security standards."
Tender Engineer,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
Senior SDET (Software Development Engineer in Test),Full time,PT Mid Solusi Nusantara (MEKARI),,"Understands and has full knowledge of development and testing lifecycleUnderstands and implements code to script test automation scenarios for both UI/API using any of the modern programming languages like Go, Python, Ruby, JS, Node.js, etcHas experience and can use open source tools (at least one) for test automation, code repo management [git, bitbucket], build and deploy tools [Jenkins, argoCD], etcHas experience designing and implementing test automation frameworks using open source tools. eg: selenium, cucumber, appium, etcHas knowledge on Databases and Cloud infrastructure and can design and setup a framework under senior’s guidanceCan understand and communicate in English [Proficiency: Mid-level]Should be able to mentor junior engineers"
Associate Project Manager,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
Senior Amazon PPC Strategist,Full time,Scale Jet,,Not Found
Head of Brand Marketing,Full time,PT Mid Solusi Nusantara (MEKARI),,Strong track record in brand management experience (preferably from tech background)Demonstrated hands-on experience in managing successful advertising campaigns in digital channelsDemonstrated experience in driving the social media metricsOut-of-the-box thinker who could come up with cost-effective tactical branding initiatives without overly reliant on large-scale paid advertisingHighly creative storyteller who can design the narratives and strongly influence the creative development process
"Legal and Visa Staff, Administrator, Bali",Casual/Vacation,PT Infinity Development and Investments,Rp 4.000.000 – Rp 5.000.000 per month,Not Found
Tax Manager,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
Senior QA Engineer 1,Full time,PT Mid Solusi Nusantara (MEKARI),,"Experience with implementing test automation using automation test tools (cucumber, selenium, etc)Knowledgeable in release pipeline processKnowledgeable in web services and REST APIKnowledgeable in SQL (MySQL/PostgreSQL)Experience in coding/scripting skills in one of the following: Ruby, PHP, Javascript, PythonPassionate as a problem solverProactive, vigilant, responsible, and collaborative"
Sales Commercial Insight,Full time,PT Mid Solusi Nusantara (MEKARI),,"Strong analytical and critical thinkingMixed method researchers with at least 4 years of experience in market research, either in-house or research agencyAble to design, execute, and analyze the research project from start to finish independently with minimum supervisionExcellent knowledge of statistical packages (SPSS, SAS or similar), databases and MS OfficeFamiliarity with CRM programsAdequate knowledge of data collection methods (polls, focus groups, surveys etc)Ability to simplify complex information into a user-friendly formatAbility to comprehend and interpret competitor strategies and consumer behaviorAbility to gather large amounts of data and convert it into meaningful analysis"
Financial Controller,Full time,GTEcom BV,,Not Found
"Marketing Manager (Pererenan, Full-Time)",Full time,Outpost,,"High attention to detail and accuracy.Excellent time management and organizational ability.Passion to learn and grow.Able to work with the team and also work individually.
Job Requirements:
Proven work experience as a Marketing strategistSpeak english fluently (Both and Oral)Strong LeadershipAble to work under pressureExcellent communication skills (verbal and written)Eager to learn about the budgeting prospect and unit operationsDemonstrable experience with marketing campaigns﻿"
Software Engineer - Fullstack,Full time,PT Mid Solusi Nusantara (MEKARI),,"Minimum 1-year software engineering experience in a team setting.Strong knowledge and experience both in modern front-end frameworks (Vue.js, React.js, etc) and back-end frameworks (Ruby on Rails, Go, Laravel, etc)Good understanding of modern software engineering practices such as TDD, continuous integration, code review, and microservices design patternsFamiliarity with containers and container orchestration (i.e Kubernetes)Familiarity with software development methodologies and frameworks such as Agile or ScrumExcellent communication skills, written and verbal, with a focus on collaboration, understanding, and information sharing between team members and stakeholders"
Cloud Application Support Technician,Full time,Snaphunt,,Not Found
Senior Software Engineer 1 - Fullstack,Full time,PT Mid Solusi Nusantara (MEKARI),,"Minimum 3-year software engineering experience in a team setting.Strong knowledge and experience both in modern front-end frameworks (Vue.js, React.js, etc) and back-end frameworks (Ruby on Rails, Laravel, etc)Good understanding of modern software engineering practices such as TDD, continuous integration, code review, and microservices design patternsFamiliarity with containers and container orchestration (i.e Kubernetes)Familiarity with software development methodologies and frameworks such as Agile or ScrumExcellent communication skills, written and verbal, with a focus on collaboration, understanding, and information sharing between team members and stakeholders"
Aftersales Trainer,Full time,PT Mid Solusi Nusantara (MEKARI),,"Bachelor's Degree in any major;Having experience in learning & development ot training and development at least 1-2 years;Hands-on experience in Training Need Analysis (TNA) and designing training programs;Excellent presentation, coaching, and communication skills;Capable to manage multiple training projects, and target oriented;Adaptable to change and capable of working in a dynamic, fast-paced environment;Proficiency in Microsoft Office (Word, PowerPoint, Excel) and graphic design tools to create interactive training materials will be an added value."
Policy and Licensing Advisor (Remote Indonesia),Full time,Tether Operations Limited,,Not Found
Sales Development Representative,Full time,Talent Search Recruitment,,Not Found
Community Liaison,Full time,PT Buffalo Tours Indonesia,,Not Found
Protection Test Commissioning Engineer,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
video editor,Full time,PT Sho Media Productions,Rp 3.400.000 – Rp 5.000.000 per month,Not Found
Product Designer (Accounting & Tax),Full time,PT Mid Solusi Nusantara (MEKARI),,"Proven experience as a Product Designer or UI/UX Designer, with a focus on B2B products.Strong portfolio showcasing your design skills, process, and results in a B2B context.Proficient in design tools such as Sketch, Figma, Adobe XD, or InVision.Experience in user research, usability testing, and data-driven design.Excellent communication and collaboration skills.Ability to work independently and manage multiple projects simultaneously."
Android Developer (for Retail Industry),Full time,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),,Not Found
Crypto Engineering Manager (Jakarta-Remote),Full time,Tokenmetrics,,Not Found
Executive Chef,Full time,Bali Jobs Recruitment,,"Proven culinary experience of at least 3 years in a senior leadership role as a head chef or chef de cuisines for a well-established international brand.Strong background in Asian and international dishes with various cooking techniques.Operations-oriented with a proactive approach to managing daily kitchen activities and problem-solving.Capable of managing and organizing the entire production unit.Ability to create new menus and present varying top food quality.Prior experience in food control and labour cost, sample preparation and menu development.﻿Strong leadership skills, with the ability to inspire and manage diverse teams effectively.Excellent financial acumen for managing budgets, cost control, and maximizing profitability.Good command of written and spoken English for effective communication with staff, management, and guests.Extensive knowledge of food safety, hygiene, and health standards, ensuring compliance with all regulations.Proven experience working in Asia, specifically in Indonesia, is essential.Experience working in remote locations is an advantage."
Senior Solution Architect Developer,Full time,Cordlife,,"Strong experience in Dynamics 365 CRM development and customization for at least 4 years programming experience in Dynamics 365Fluent in English is a mustExperience with healthcare or customer relationship management systems is a plusProficiency in programming languages such as Java, C#, Python, or JavaScript.Strong understanding of architectural patterns and best practices.Familiarity with DevOps practices and tools.Knowledge of database design and management.
Soft Skills:
Excellent problem-solving skills and attention to detail.Strong communication and interpersonal skills.Ability to work collaboratively in a team environment.Adaptability and willingness to learn new technologies."
Medical Data Annotator,Part time,SUPA,,"Possess a medical degree or certification.Experience in working with medical imaging technologiesA high level of precision and attention to detail, always striving for excellence.Familiarity with XNAT and an openness to learning new technologies.Access to a computer device and a stable network connection.Proficient in English, both written and verbal.Maintain utmost confidentiality of sensitive patient information.Ability to work effectively in a team of qualified professionals to achieve project goals.A drive to contribute to cutting-edge technological innovations in medical AI."
Technical Engineer Cybersecurity,Full time,Titan Guard,,Not Found
Software Support Engineer,Full time,Hexagon Mining,,"Strong interest in providing a superior level of customer service and support to clients.Eagerness to learn new skills and undergo training in Hexagon products.Ability to work proactively with minimal supervision.Capability to work effectively in a team environment.Degree in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or related fields.Intermediate to advanced experience with the Linux operating system (Ubuntu preferred).Basic to intermediate experience with relational databases (PostgreSQL, Microsoft SQL Server).Intermediate to advanced experience with shell scripting and scripting languages (bash, ruby, JavaScript, Perl, Python, etc.).Experience with wireless networks, switches, and routing would be an advantage.Experience working in the mining industry would be an advantage.Good written and verbal English communication skills."
Head of Crypto Investment Research (Indonesia-Remote),Full time,Token Metrics,,Not Found
Crypto Quantitative Analyst (Indonesia- Remote),Full time,Token Metrics,,Not Found
Crypto Operations Manager (Indonesia - Remote),Full time,Token Metrics,,Not Found
Consultant / Interim Manager / Partner @ INSECOGO (m/f/d) remote in Indonesia,Full time,INSEMACO® Recruiting & Executive Search Consultants GmbH & Co. KG,,Not Found
Remote Print Production Design Specialist,Full time,Snaphunt,,Not Found
IT Support,Full time,PT Buka Tutup Pintu,Rp 4.000.000 – Rp 4.500.000 per month,Not Found
Junior Strategic Partnership (Mekari eSign),Full time,PT Mid Solusi Nusantara (MEKARI),,Have experience in execute marketing activityGood time management and organizational skillDetail-orientedSelf-drivenGreat ownership senseFluent in both English and BahasaExcellent communication and presentation skill
UI UX/Web Designer for Marketing Agency (US Based/Remote),Full time,Paired,,"4+ years of experience as a UI/UX Designer, preferably in a marketing or digital agency with a solid portfolioStrong understanding of user-centered design and usabilityVisual design skills and attention to detailExperience with HubSpot page builder (good to have)B2B Experience (good to have)Strong portfolio showcasing a range of UI/UX designs and problem-solving skills.Proficient in design tools such as Sketch, Figma, or Adobe XD.Experience with user research, usability testing, and user-centered design principles.Knowledge of HTML, CSS, and JavaScript is a plus.Experience working in FigmaExcellent communication and collaboration skills.Ability to work independently and manage multiple projects with competing deadlines.Attention to detail and a passion for creating exceptional user experiences."
Android Engineer,Full time,PT AJAIB TTX Solusi (jakarta),,"2+ years of professional Android development experience
Proficiency in Kotlin or Java, and Android framework necessaryDeep understanding of reactive programmingIn-depth understanding of design patterns and their applicationFamiliarity with end-to-end systems development life cyclesExcellent analytical, decision-making, problem-solving, team, and time management skillsBachelor's degree in Computer Science, Engineering or related equivalent experienceFamiliarity with Kotlin, RxJava 2, Dagger 2, and other libraries in our tech stack."
Crypto UI/UX Engineer (Jakarta-Remote),Contract/Temp,Tokenmetrics,,Not Found
"Mobile Developer (Android, Flutter, Kotlin) - Multifinance Industry",Contract/Temp,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),,Not Found
Graduate Software Project Manager,Full time,Kounsel,,Not Found
Financial Controller Manager,Full time,Flora Food Group,,Not Found
Senior Project Manager,Full time,PT. HITACHI SAKTI ENERGY INDONESIA,,Not Found
"Channel Account Manager, Indonesia",Full time,PT Trimaxindo International Indonesia,,Not Found
Greater Asia Indonesia SHE GTM Manager,Full time,Unilever,,Not Found
Research Data Analyst (Remote),Full time,Private Advertiser,,"Exceptional analytical skills and the ability to process complex information from varied sources.Education in data analysis, mathematics, or economics;Strong written and verbal English and Bahasa Indonesia communication abilities to present findings clearly and concisely.Knowledge of Excel, Google Sheets, Google Docs, and Notion;An adaptable, proactive approach to tackling research in non-standardized, evolving fields.Knowledge of real estate, commercial property, marketing, Indonesian law, and investments, is a plus."
Property Sales Specialist (Remote),Full time,Rosaria Villas,Rp 1.500.000 – Rp 2.000.000 per month,"Valid real estate broker license in the relevant jurisdiction.Proven experience in lead generation and real estate sales.Excellent communication, networking, and negotiation skills.Ability to work independently and handle multiple priorities.Familiarity with real estate CRM and lead management tools.
Preferred Skills:
Expertise in digital marketing for lead generation.Experience in luxury or commercial property markets.Fluency in multiple languages is a plus."
AI Training Engineer (Remote | Flexi-time),Full time,Snaphunt,,Not Found
"Digital Creative Specialist (Full Time, Remote)",Full time,AMI Financial Solutions,Rp 6.700.000 – Rp 10.000.000 per month,Not Found
Consultant / Interim Manager / Partner @ INSECOGO (m/f/d) remote in Malaysia,Full time,INSEMACO® Recruiting & Executive Search Consultants GmbH & Co. KG,,Not Found
CRM Marketing Manager (Remote),Full time,Snaphunt,,"This FULL-TIME ROLE will only suit someone who also meets the following requirements:
Has a passion for excelling in all they do, and this is evidenced in references provided in your applicationHas extensive experience and evidence of achieving exceptional results in CRM ManagementCan be analytical, strategic, and creative when the role requires itHas perfect spoken & written EnglishHas the highest integrity
If you believe you are a great fit for the role and meet ALL requirements above, we are looking forward to hearing from you!
The Employer
Our client is a national digital health company with almost 20 years in the industry, comprising 5 divisions including the National Dental Network, Health Fund Partnerships, Projects & Investments plus more recently, Retail Dental Cover and Corporate Dental Cover."
Senior Direct Response Graphic Designer - Remote Yogyakarta,Full time,Talent Disruptors,,Not Found
Business Support Assistant (Remote/WFH),Full time,PT Cekindo Business International,Rp 15.000.000 – Rp 22.000.000 per month,Not Found
Technical Support - Yogyakarta Placement,Full time,PT Mid Solusi Nusantara (MEKARI),,"Candidate must possess at least a Bachelor's Degree Information System, Computer Science, or equivalentFresh graduates are welcome to applyHave basic knowledge in HR Software and/or HR Information SystemKnowledge in Tax will be a plus pointFamiliar with Database & HR product will be a plus pointProficient in English (both written and spoken)Good analytical and problem-solving skills"
Remote Event Coordinator (C),"Full time, Part time",Feyer&Associates,,Not Found
Entry Level Reservation Specialist (C),"Full time, Part time",Feyer&Associates,,Not Found
Activation Admin - Yogyakarta Placement,Full time,PT Mid Solusi Nusantara (MEKARI),,Proficient with corporate productivity and web presentation tools (Microsoft & Gsuite)Experienced using CRM toolsExcellent written and verbal communication skillsComfortable with calling clientsFast learner and independentGood interpersonal and teamwork skillsAble to work under pressure
Customer Support Intern - Yogyakarta Placement (Next Level Internship),Full time,PT Mid Solusi Nusantara (MEKARI),,"Final year student with little to no mandatory classes in universityMulti-tasking and time-management skills, with the ability to prioritize tasksHighly goal-oriented individual and have excellent communication skillsComfortable for speaking in publicBased in Yogyakarta"
Remote Canva Creative Specialist,Full time,Snaphunt,,"Bachelor’s degree in Graphic Design, Digital Media, or a related field.Proven expertise and a track record of success in using Canva for professional design projects.Strong leadership, analytical, and communication skills.Collaborative mindset with the ability to work effectively in a team and cross-functional setting.Bonus pickles if you have experience with the Affinity suite of tools.
Skills/Competencies:"
Team Manager (Fully Remote),Full time,My Free Course,"Rp 10,172,619 – Rp 15,258,928 per month","Bachelor's degree or equivalent.At least 5 years+ of experience in a team management role and/or higher.Fluency in English, both written and spoken.Excellent communication and interpersonal skills.Strong leadership and organisational abilities.Proven ability to manage multiple projects simultaneously.Experience working remotelyExperience in Google Workspaces and Microsoft Software (Word, Excel and PowerPoint)Experience with CRM systemsUnderstanding of KPIs and performance managementA strong understanding and proven track record in sales and real-world experience of this."
Junior Urban Designer (Remote),Full time,SHIRVANO,,Not Found
Graphic Designer,Full time,PT Samudra Yachting Indonesia,,Not Found
Marketing Analyst (Remote),Full time,Snaphunt,,Not Found
Accounting Administrator,Full time,Sumba Paradise Beach Resor,,Proven experience in an accounting or administrative roleProficiency in Mekari Jurnal.id for accounting functions; familiarity with Mekari Talenta is a plusBasic English skills for reading and understanding reports and communicationsStrong attention to detail and excellent organizational skillsAbility to meet deadlines and handle multiple tasks effectively
Sr. Android Developer (Entertainment),Full time,AniLive,,Not Found
Content Creator (remote),Part time,Bamboo Works,,"Good appearance in front of the camera.Fluent in English with no noticeable accent.Comfortable speaking in front of the camera; previous experience in video content creation is a plus.Strong communication skills and a lively, engaging personality.Understanding of financial markets is a plus
What's on Offer?
Hourly basisRemote job (WFH)Working hours: FlexibleHourly Starting Salary: $5No Experience Needed!"
Virtual Assistant for Property Management Company (US Based/Remote),Full time,Paired,,"Previous experience in managing Airbnb listings is a must.Excellent written and verbal English, other language is a plus.Must have a service quality mindset, to help our tenants to have the best experience.Proficiency in Microsoft Office Suite and other relevant software applicationsStrong attention to detail and organizational skillsAssertive, Friendly & LikeableExperience in the hospitality industry is a plus."
"Lowongan Kerja sebagai Road Maintenance Officer, Remote Sensing Specialist",Full time,PT Sebangun Bumi Andalas Wood Industries,,Not Found
Senior Urban Designer (Remote),Full time,SHIRVANO,,Not Found
Paid Ads Marketer- Remote,Full time,Company Confidential,,Not Found
Social Media Manager for Construction Company (US Based/Remote),Full time,Paired,,"Proven work experience as a Digital marketing strategist or Digital marketing managerDemonstrable experience with SEO/SEM and CRM softwareExperience implementing and optimizing Google Adwords campaignsSolid knowledge of web analytics tools like Google Analytics2+ years managing social media in a brand, agency, or exceptional personal account capacityVideo and photo editing skills, such as those using Canva and CapCut.Hands on experience with online marketing tools and practicesFamiliarity Instagram, You-tube, TikTok, reels, X, Facebook, etcFluent in professional English (Writing & Speaking)Strong analytical and project management skills"
HR Admin for CPA Firm (US Based/Remote),Full time,Paired,,"Associate's or Bachelor’s degree in Accounting, Business Administration, Human Resources, or a related field.Proven experience in an administrative or HR role, preferably in a CPA or financial services firm.Proficient in MS Office (Word, Excel, PowerPoint).Strong organizational and multitasking skills.Excellent verbal and written communication skills.Ability to maintain confidentiality and handle sensitive information.Detail-oriented and able to work independently as well as part of a team."
Content Creator (remote),Part time,Snaphunt,,"Good appearance in front of the camera.Fluent in English with no noticeable accent.Comfortable speaking in front of the camera; previous experience in video content creation is a plus.Strong communication skills and a lively, engaging personality.Understanding of financial markets is a plus
The Employer
Our client is looking for a highly motivated Content Creator for the financial team of a prop trading service provider. This role involves creating engaging and informative content about financial markets and trading strategies. The successful candidate will help educate our audience, contributing significantly to our market presence."
Senior Business Development (Mekari Qontak),Full time,PT Mid Solusi Nusantara (MEKARI),,"Preferably from a Bachelor Degree in Accountancy, Management, or equivalent, but Fresh Graduate is also welcomed.Minimum of 3 years of sales experienceProven track record in achieving sales quotaB2B sales experience is necessaryExperience in SaaS/Tech companies is a plus.Experienced in building and managing sales teamExcellent written and verbal communication skills.Comfortable and confident speaking to mid-level and senior executives.Strong organizational skills Strong interpersonal communication skills.Analytical, detail-oriented and results-focused Scrappy and competitive!Desire to drive results and improve every single day.Proficient with corporate productivity and with web presentation tools.Have a positive, can-do attitude, extraordinary hustle, disdain for failure, and hunger/appreciation for feedback.Have deep self-motivation and the ability to self-manage.Objective and Target-OrientedExcellent presentation skills"
Video Editor for DTC Brand (US Based/Remote),Full time,Paired,,"Previous experience as a Video Editor or a similar role, with a strong portfolio showcasing your editing skillsProficient in video editing software such as Adobe Premiere Pro, Final Cut Pro, or similar toolsExperience in working with direct-to-consumer (DTC) brands is preferredStrong knowledge of current video editing techniques and trendsExcellent attention to detail and ability to work under tight deadlinesStrong communication and collaboration skills to effectively work with cross-functional teamsUses TikTok / MetaExperience with capcut , premiere pro or Final Cut but preferably cap cutExperience working with English brand’s video ads on Facebook / InstagramDecent understanding of Facebook ads manager so we can clearly communicate results of editsCan provide video examples of edits made in the past (portfolio)Understands iterative testing for Facebook ads such as testing video hooks, bodies , headlines, etcFluent in English"
"KAM Indonesia and Vietnam Job - iGaming - Remote, Asia",Full time,"KAM Indonesia and Vietnam Job - iGaming - Remote, Asia",,Not Found
Malay To English Remote Telephone Video Interpreter Required,Full time,Recruitment Empire,,Not Found
Video Editor for a YouTube Channel (Remote),Full time,Paired,,"Proficiency in video editing software such as Adobe Premiere Pro, Final Cut Pro, or comparable alternatives.Excellent understanding of video production techniques, including editing, color grading, and visual effects.Ability to work independently and manage multiple projects simultaneously.Strong attention to detail and a commitment to producing high-quality work.Familiarity with YouTube optimization strategies and audience engagement tactics.Effective communication skills and the ability to collaborate with cross-functional teams."
Remote Motion Graphics Artist,Full time,Snaphunt,,Not Found
Crypto Business Development Specialist (Indonesia- Remote),Full time,Token Metrics,,Not Found
